GEOID_12,med_hou_inc,med_inc_q,below_pov,bach_degre,grad_degre,asian,black,hispanic,white,home_age,loss_n,gain_n,change_5_200,suhi_2013,suhi_2022,suhi_change,tree_area_13_n,tree_area_22_n
42101014500,33550,1,0.377015081,0.092192691,0.059800664,3.6,69.5,15.4,9.1,41,0.033756334,0.063648502,0.029892167,6.962395691,7.364193691,0.401797997,0.083757958,0.109828228
42101017602,33750,1,0.585620915,0.013919095,0,7.5,19.5,72.5,5.1,83,0.061313448,0.03422129,-0.02709217,8.582101826,7.411299488,-1.170802334,0.074357691,0.03740437
42101010400,33804,1,0.540205562,0.082819723,0.035053929,0,81.1,2.8,4.2,70,0.04272911,0.080845901,0.038116801,7.72972538,8.368080183,0.638354806,0.137480973,0.170704589
42101029900,33852,1,0.378447873,0.032882012,0.011605416,2.3,53.4,41.7,9.9,83,0.031963386,0.045065109,0.013101724,5.847716262,5.73971501,-0.108001255,0.082549101,0.093899236
42101027700,33944,1,0.282392027,0.089678079,0.021461421,1.9,91.7,0.4,2.4,78,0.052388131,0.046328163,-0.006059972,9.401180523,7.341880231,-2.059300292,0.135819233,0.124655143
42101024600,34091,1,0.292186201,0.09328151,0.087729039,0,82,2.2,13.7,83,0.072041651,0.079713805,0.007672151,7.518927621,6.106747624,-1.412179997,0.225575859,0.233946905
42101028000,34143,1,0.260270603,0.086956522,0.033143264,0,96.4,3.7,1.1,81,0.05190876,0.044674585,-0.007234177,7.384471399,6.750639447,-0.633831952,0.124508648,0.112150805
42101007102,34291,1,0.296710987,0.063299033,0.076395385,0,93.1,3.7,3.2,83,0.032944949,0.042171603,0.009226652,8.41926965,10.00275584,1.583486187,0.067847848,0.074466973
42101005600,34523,1,0.250221043,0.073988439,0.093641618,0.6,87.3,4.2,4.4,51,0.029103584,0.092695701,0.063592113,6.36896525,7.626830701,1.257865451,0.242808132,0.303251558
42101020200,34576,1,0.363241309,0.101619207,0.018146287,0,80.8,3.9,6,83,0.060984726,0.070510999,0.009526271,8.159903943,5.792562548,-2.367341393,0.143323563,0.150555288
42101009500,34652,1,0.366440933,0.116267211,0.009688934,0,99.1,0,0.9,81,0.043117476,0.04204007,-0.00107742,9.184770193,10.78244455,1.597674355,,
42101032300,34667,1,0.244103438,0.057983557,0.0263955,3,30,33.6,37.3,65,0.027375905,0.039088837,0.011712919,6.639060373,8.759646002,2.120585625,0.061317383,0.064782106
42101016200,34677,1,0.219892953,0.212080537,0.044966443,8.3,12,72.9,15.4,83,0.047767538,0.060576189,0.012808644,6.999267074,5.993321593,-1.005945481,0.108109026,0.121114028
42101008702,36071,1,0.342448464,0.358719647,0.457505519,18.9,14.1,8,56.5,83,0.050417107,0.075249218,0.024832119,6.35560078,8.320220835,1.964620054,0.154367199,0.180772951
42101008801,36574,1,0.421602787,0.448275862,0.491954023,26.4,12.1,20,37.7,6,0.030222913,0.069493637,0.039270721,7.740522436,9.362899111,1.622376671,0.107245813,0.14625279
42101017701,36694,1,0.532923077,0.092409241,0.020744932,0.6,21.4,74,15.1,83,0.044201902,0.040192871,-0.004009038,9.446420594,9.56854171,0.122121119,0.073701986,0.071436995
42101031700,36758,1,0.231525157,0.093097913,0.024612092,9.7,10.9,39.4,35.3,67,0.016501165,0.026424181,0.009923018,7.328159586,8.853736593,1.525577006,0.05749089,0.063149306
42101038100,36776,1,0.260613208,0.110315186,0.012893983,1.2,15.8,22.6,55,83,0.017359743,0.021936713,0.004576969,6.850340634,8.599047626,1.748706993,0.032646792,0.032407679
42101029800,37188,1,0.324370104,0.055113288,0.029699939,4.2,46.4,37.6,27,74,0.026856666,0.036219064,0.009362393,7.795594158,9.286568912,1.490974754,0.080482543,0.084148035
42101019800,37574,1,0.27628692,0.050051867,0.017894191,5.1,24.6,67.5,11.4,83,0.039794817,0.03116152,-0.008633301,9.340616876,7.228687832,-2.111929044,0.073468697,0.06106895
42101009000,37674,1,0.54065193,0.311009174,0.249541284,18.3,15.9,4.3,60.2,53,0.045142008,0.088767177,0.04362516,6.6349706,7.803537763,1.168567162,0.121069274,0.162977397
42101010500,37708,1,0.421485261,0.100585601,0.063038236,3.1,88.7,4.7,5.1,59,0.044314701,0.069393828,0.025079129,7.370997164,8.181970466,0.810973299,0.097382221,0.11744501
42101027901,37813,1,0.206,0.096254531,0.098670963,0,95.3,2.3,1.3,83,0.041920408,0.056390222,0.014469819,7.570575873,7.365063313,-0.205512562,0.140956206,0.151191649
42101027800,37820,1,0.217135863,0.069907736,0.051809794,0.1,95.6,1.1,2.7,81,0.034879147,0.043506502,0.008627353,8.286511034,8.773783405,0.487272371,0.128702121,0.135127498
42101010700,37917,1,0.320793839,0.099161322,0.030587074,0,82.8,2.4,8,83,0.061385969,0.060652739,-0.000733234,7.375062093,8.704025757,1.328963664,0.119582331,0.117784141
